Crop,N,P,K,pH,Temperature,Humidity,Rainfall,Yield_tons_per_hectare
Sugarcane,241.32,74.0,110.85,7.18,36.45,67.08,253.06,6.75
Soybean,21.84,71.93,14.3,6.39,31.06,77.47,96.77,1.2
Cotton,115.28,76.85,56.76,6.6,25.38,60.72,181.43,1.84
Cotton,55.05,96.8,66.45,7.13,24.54,59.9,168.0,1.91
Rice,132.23,33.47,34.74,6.62,30.32,82.28,135.78,2.87
Onion,88.77,38.38,50.65,6.32,16.32,38.85,187.36,1.86
Tomato,116.5,46.66,22.48,6.14,27.58,79.42,152.11,2.53
Maize,189.12,63.43,71.7,6.61,20.59,54.94,126.78,3.5
Soybean,57.72,39.34,64.27,6.66,30.81,75.13,92.34,1.83
Onion,103.75,31.62,27.91,6.46,32.18,60.87,161.64,1.54
Potato,176.67,98.05,119.05,6.19,24.89,78.78,235.68,1.81
Rice,90.45,45.67,21.27,6.79,20.55,73.46,100.05,3.27
Groundnut,23.05,93.34,56.06,6.42,24.07,49.54,126.15,1.33
Soybean,39.82,29.66,30.83,7.41,37.07,72.05,137.45,1.53
Onion,71.97,77.5,87.47,6.35,21.59,60.5,78.99,1.72
Groundnut,0.0,59.33,54.56,6.13,31.47,61.48,160.86,0.92
Soybean,69.54,58.56,0.0,5.96,21.93,79.48,94.66,1.59
Soybean,104.52,27.64,8.58,6.32,18.76,55.9,158.67,1.73
Maize,173.67,92.18,74.82,5.74,27.25,59.7,142.63,3.41
Cotton,48.09,14.98,82.67,7.24,28.68,46.2,157.19,2.0
Soybean,82.56,36.45,41.5,6.92,32.64,66.73,117.52,1.92
Maize,158.25,58.38,0.0,7.4,33.97,58.88,126.67,3.09
Onion,94.37,69.91,51.09,6.4,15.41,73.66,129.98,1.99
Potato,120.95,116.77,65.13,6.35,8.45,67.1,228.05,2.12
Sugarcane,183.61,89.62,102.01,7.46,36.26,70.44,169.41,7.51
Sugarcane,186.28,73.99,105.95,7.09,31.53,66.06,274.34,7.17
Cotton,75.17,45.14,104.84,7.39,33.39,69.17,300.14,1.97
Maize,192.61,90.25,69.92,7.69,22.9,60.01,195.99,3.26
Potato,159.56,111.25,90.44,5.85,18.87,72.72,54.3,2.11
Rice,100.62,68.75,16.91,5.92,28.15,59.24,177.75,2.26
Onion,141.07,34.61,83.06,7.36,18.77,54.28,90.32,1.48
Soybean,90.38,44.47,64.93,6.63,24.3,62.88,120.76,1.78
Soybean,81.75,61.71,55.23,7.38,25.34,80.05,141.48,2.06
Onion,96.43,48.82,55.6,6.32,14.67,71.54,144.91,2.0
Onion,104.65,65.34,64.27,7.19,17.7,54.03,80.57,1.75
Maize,142.74,32.47,84.43,6.66,25.86,77.45,62.75,3.04
Soybean,68.39,53.27,46.53,7.22,29.37,79.58,132.36,1.75
Sugarcane,137.61,69.41,107.2,7.22,28.95,71.31,350.59,6.74
Cotton,127.83,50.04,68.78,7.59,35.31,52.6,159.96,2.33
Sugarcane,200.22,104.09,86.24,7.05,27.1,84.01,245.24,7.43
Groundnut,8.3,0.0,30.11,6.22,26.32,79.8,128.75,1.28
Wheat,70.7,52.71,50.27,6.61,16.0,41.92,86.21,2.67
Potato,145.71,69.87,99.89,6.58,18.02,80.4,107.67,2.27
Groundnut,40.62,87.85,68.6,6.49,27.76,74.01,139.73,0.79
Wheat,88.38,66.76,24.26,6.55,16.5,57.44,135.63,2.41
Onion,124.76,44.7,42.31,6.13,27.12,58.29,45.65,1.77
Sugarcane,176.99,89.48,105.17,7.04,41.56,74.25,280.89,6.98
Rice,54.18,18.26,20.91,6.71,33.18,83.45,188.67,2.57
Cotton,133.41,91.43,72.7,7.47,29.72,62.56,61.77,1.85
Soybean,91.86,84.25,33.64,5.48,23.51,80.1,50.81,1.57
Tomato,124.68,57.68,91.89,5.89,22.38,81.95,60.36,3.09
Tomato,87.98,76.99,72.54,5.93,21.52,75.45,119.66,2.85
Rice,123.07,16.34,14.87,5.85,23.5,91.04,228.02,2.3
Wheat,119.67,88.09,98.16,7.13,6.7,62.97,196.74,2.4
Sugarcane,221.8,107.14,75.31,6.76,28.39,85.65,211.71,7.4
Tomato,129.11,91.72,79.17,5.62,27.23,91.38,155.62,2.45
Onion,67.54,30.94,90.07,6.64,18.69,63.42,84.15,1.81
Sugarcane,169.57,123.61,102.44,7.8,37.91,75.85,234.25,7.25
Potato,147.16,46.86,131.05,6.12,12.18,54.32,33.62,2.24
Sugarcane,181.43,90.9,109.76,6.94,32.73,75.95,245.79,7.24
Groundnut,5.41,62.05,26.36,6.8,38.73,66.56,174.64,1.37
Cotton,83.97,54.0,110.27,6.74,22.8,43.66,109.12,1.92
Rice,130.22,44.33,59.43,6.35,22.3,66.91,154.6,2.71
Sugarcane,215.6,112.06,70.23,7.2,24.87,79.01,273.95,7.03
Sugarcane,229.04,146.78,116.7,7.12,28.42,72.91,211.96,7.01
Wheat,85.85,22.21,64.39,7.01,17.14,47.17,164.49,2.26
Potato,145.83,115.3,113.02,5.32,11.63,76.52,81.23,1.76
Sugarcane,215.97,106.42,109.01,7.33,29.67,68.38,275.81,7.93
Tomato,104.96,39.59,57.3,6.07,25.01,48.6,141.96,2.71
Sugarcane,146.06,80.42,101.59,7.13,32.6,73.59,313.24,7.12
Soybean,50.51,38.73,64.71,6.51,29.17,76.13,29.01,1.52
Sugarcane,169.38,83.68,91.59,7.7,35.99,72.07,237.44,7.15
Onion,102.68,54.05,66.13,7.2,10.49,63.47,169.21,1.66
Groundnut,64.18,43.87,43.5,5.63,21.5,67.25,144.09,1.25
Cotton,63.17,50.88,95.14,7.87,26.42,38.4,162.02,2.03
Soybean,108.29,65.62,32.33,6.53,32.54,68.51,78.26,1.51
Potato,126.84,71.8,116.4,5.44,25.77,61.63,266.57,2.5
Onion,104.23,17.05,48.89,6.61,15.63,67.91,58.82,1.57
Groundnut,23.89,38.5,81.56,5.93,29.2,61.46,117.64,1.46
Cotton,126.44,55.33,74.5,7.03,27.31,45.88,116.96,2.33
Cotton,112.06,53.61,65.34,6.97,25.23,58.13,108.94,2.39
Groundnut,60.02,35.81,51.93,6.22,37.11,57.84,134.76,1.21
Onion,58.35,39.59,67.61,6.58,10.9,64.69,45.38,1.58
Potato,196.53,95.39,130.73,5.72,17.28,64.56,115.8,1.93
Potato,110.8,107.32,58.16,6.69,24.23,80.0,94.27,1.66
Wheat,103.55,72.5,60.06,6.48,25.74,76.84,138.67,2.73
Potato,104.73,71.71,110.21,6.18,15.46,72.26,127.64,2.17
Groundnut,42.7,10.65,38.51,6.37,24.15,55.21,77.48,1.3
Sugarcane,200.18,102.58,57.99,7.53,28.55,94.33,190.42,7.13
Groundnut,23.91,58.26,0.98,5.79,29.96,50.52,168.5,1.27
Groundnut,3.02,62.2,72.15,6.41,33.3,76.77,53.91,1.3
Soybean,34.3,68.5,48.57,7.12,31.86,75.7,144.92,1.92
Rice,81.85,38.78,68.85,7.28,27.29,82.38,204.08,2.75
Tomato,109.91,91.99,65.0,7.56,29.86,74.01,148.04,2.34
Sugarcane,192.04,128.83,87.71,7.73,23.11,63.02,345.07,7.15
Maize,133.85,97.25,74.92,7.26,22.15,62.13,195.58,3.48
Rice,64.75,43.41,45.35,7.14,31.77,64.93,189.32,2.98
Cotton,117.04,68.46,72.03,6.87,28.35,57.09,88.0,2.0
Onion,38.5,75.34,59.93,6.98,28.33,52.45,13.22,1.5
Tomato,128.8,25.37,87.19,6.3,19.96,66.67,-2.08,2.4
Tomato,98.87,71.14,76.84,6.82,11.25,61.61,147.8,2.57
Soybean,105.36,23.91,64.62,6.18,22.32,79.91,188.1,1.91
Cotton,161.16,75.34,54.09,7.07,26.2,75.29,175.24,1.8
Maize,176.34,45.36,55.01,6.33,16.56,72.85,225.43,3.52
Sugarcane,194.51,74.67,76.77,6.72,28.83,85.76,303.02,6.92
Groundnut,9.2,35.6,0.0,6.48,25.77,58.87,167.29,1.18
Sugarcane,187.08,111.44,121.18,7.35,33.45,73.54,245.91,7.46
Soybean,57.41,48.64,77.56,7.5,33.96,56.77,59.01,1.48
Tomato,124.03,3.83,68.22,7.2,28.91,64.91,98.33,2.54
Sugarcane,228.06,89.34,95.31,6.92,23.34,72.8,235.2,7.17
Potato,169.38,89.67,113.91,5.62,8.08,79.67,116.79,2.03
Onion,62.29,44.49,81.55,6.55,16.55,71.52,108.64,1.16
Groundnut,49.87,92.57,0.0,5.58,12.76,59.25,149.52,0.99
Cotton,141.76,66.61,104.04,7.58,25.99,55.67,76.57,1.89
Potato,151.85,78.3,126.85,5.83,13.34,66.3,182.76,2.03
Potato,143.96,106.55,105.85,5.96,17.82,64.7,107.14,2.26
Potato,158.14,98.96,101.85,6.68,26.03,82.95,211.25,2.04
Maize,115.52,80.36,23.18,6.65,28.86,79.13,167.29,3.2
Groundnut,39.61,28.53,36.53,6.2,26.86,60.89,58.27,1.38
Maize,127.59,37.6,56.84,7.25,28.98,62.38,139.45,3.59
Maize,169.17,74.35,84.89,6.79,23.72,61.0,101.96,3.52
Onion,96.84,60.2,86.84,6.6,10.31,69.81,108.34,1.49
Potato,161.92,95.72,81.07,5.85,25.38,67.78,153.33,1.71
Maize,105.54,73.15,74.56,6.12,25.37,61.24,227.65,3.13
Onion,112.9,36.93,54.46,6.83,20.74,69.78,102.18,1.81
Rice,69.31,41.55,44.44,6.01,26.25,69.45,198.01,3.16
Onion,123.12,63.45,31.55,6.8,25.19,63.25,63.59,1.46
Rice,105.63,58.05,35.84,6.88,13.17,93.28,192.15,2.85
Wheat,110.38,87.91,38.79,7.74,21.98,66.23,133.54,2.28
Rice,107.92,46.23,67.23,6.4,25.9,93.88,295.59,2.73
Rice,57.42,56.21,34.92,6.8,26.7,95.64,165.03,3.06
Soybean,65.34,54.37,41.76,6.87,30.59,75.58,124.6,2.02
Maize,176.93,88.59,0.0,6.66,23.88,71.69,176.66,3.25
Sugarcane,167.64,105.2,118.0,6.46,42.57,86.91,250.07,6.97
Wheat,114.75,61.68,68.81,7.75,17.62,65.63,85.38,2.71
Maize,161.3,83.83,34.94,6.58,32.3,76.62,190.42,3.09
Rice,155.33,39.6,33.75,6.24,29.88,83.87,247.53,2.48
Sugarcane,190.63,140.61,104.49,7.11,25.29,80.06,301.55,7.42
Onion,92.24,57.23,83.43,7.34,18.08,39.54,114.84,1.83
Potato,117.32,79.82,94.73,6.05,15.28,87.91,157.4,2.14
Groundnut,57.52,24.72,65.69,6.7,33.95,58.42,75.19,1.12
Rice,77.47,26.95,28.93,6.32,22.15,86.78,197.39,3.05
Tomato,86.69,36.79,118.72,6.19,27.05,71.63,-18.76,2.66
Tomato,140.52,44.65,79.43,5.93,33.13,60.92,93.85,2.5
Potato,152.41,107.41,135.79,5.8,19.89,75.82,100.92,2.68
Potato,190.88,83.78,131.64,6.61,18.41,78.26,225.61,1.97
Rice,130.21,35.5,70.49,6.5,29.69,79.66,173.41,2.52
Rice,121.37,0.0,15.22,6.14,22.61,95.1,262.88,2.32
Onion,80.87,76.7,18.24,7.87,18.58,62.38,78.53,1.32
Onion,157.75,65.78,74.31,6.19,22.9,70.21,113.54,1.27
Soybean,112.27,62.43,30.9,5.57,29.03,94.5,79.24,1.82
Rice,113.31,14.61,30.4,6.07,32.92,93.26,207.95,2.51
Rice,66.72,27.39,20.45,6.45,30.87,84.9,199.59,2.96
Onion,97.55,24.06,53.2,6.51,15.26,68.71,69.41,1.8
Cotton,125.43,31.0,71.84,6.09,35.66,41.41,94.26,2.38
Onion,92.96,26.05,64.26,7.15,18.83,59.75,78.23,1.67
Cotton,43.21,46.37,105.68,6.55,25.08,43.16,150.61,2.17
Rice,115.41,15.04,50.0,7.22,30.55,84.78,176.42,2.72
Onion,137.09,56.56,25.03,6.57,28.05,68.25,105.95,1.51
Soybean,115.66,93.25,75.26,7.22,24.21,65.0,122.18,1.64
Maize,192.93,93.32,60.77,6.08,16.56,67.4,224.01,3.27
Wheat,177.45,38.35,35.83,6.67,16.49,65.26,128.91,2.0
Wheat,146.75,24.8,38.58,6.19,21.04,61.86,245.82,2.54
Onion,143.25,55.77,30.46,6.86,24.96,72.04,76.38,1.73
Maize,122.01,49.13,27.68,6.81,19.11,60.75,225.15,3.11
Sugarcane,184.87,101.43,104.94,6.95,33.93,80.9,306.99,7.61
Sugarcane,184.62,86.35,106.14,7.01,27.15,70.52,215.82,7.57
Tomato,77.62,66.06,93.53,6.21,33.61,70.18,41.93,2.45
Onion,101.88,58.98,44.85,6.29,16.53,58.46,72.11,1.61
Cotton,78.02,63.19,102.97,7.38,34.53,64.74,161.66,1.96
Groundnut,34.23,41.59,35.62,6.23,30.57,64.23,91.91,1.66
Cotton,113.0,63.35,39.62,6.46,33.54,54.39,98.8,2.07
Soybean,72.09,71.16,27.84,6.51,27.23,73.96,141.14,2.05
Wheat,102.82,41.16,109.14,6.85,19.08,66.78,229.8,2.24
Groundnut,0.04,25.16,71.86,5.68,26.86,50.23,27.58,0.97
Soybean,51.87,46.17,90.12,6.71,30.66,78.25,124.96,1.59
Potato,157.47,83.37,88.62,6.06,14.47,73.29,133.24,2.12
Tomato,49.47,41.22,116.08,6.35,27.88,48.76,69.59,1.92
Sugarcane,193.93,148.44,109.2,8.05,28.73,88.65,353.66,7.02
Sugarcane,183.82,73.64,93.82,7.24,40.15,62.05,252.98,6.89
Cotton,87.2,56.23,80.25,7.29,29.99,60.8,122.29,2.1
Wheat,64.45,49.07,57.31,7.63,19.5,58.03,169.28,2.52
Rice,104.32,79.59,83.82,6.55,29.68,95.79,192.5,2.35
Wheat,85.95,53.78,83.12,6.64,19.36,44.26,250.29,2.75
Soybean,85.64,70.15,57.92,7.19,23.41,77.32,183.87,2.24
Soybean,12.22,48.01,29.62,6.57,15.92,49.54,238.5,1.6
Soybean,83.63,67.27,52.93,7.0,22.84,71.87,141.37,1.87
Onion,138.31,41.09,70.35,6.86,30.17,54.59,45.76,1.39
Potato,154.0,110.83,131.86,4.85,19.25,42.87,189.75,2.36
Rice,78.79,41.68,41.47,6.11,30.16,77.69,246.51,3.36
Rice,54.17,9.28,2.72,7.16,25.71,83.39,289.16,2.21
Maize,131.18,67.36,50.59,7.74,32.83,71.21,252.47,3.63
Wheat,128.97,53.97,34.19,7.6,22.66,60.18,149.88,2.38
Potato,120.68,86.72,89.42,5.89,17.48,68.18,101.6,1.96
Soybean,75.6,72.37,17.13,6.49,27.41,60.1,201.11,1.77
Groundnut,26.96,46.77,4.58,6.7,22.22,57.63,129.88,1.76
Tomato,87.6,51.07,107.65,6.73,27.36,59.49,101.04,2.52
Wheat,94.26,26.51,49.79,7.68,20.3,73.74,158.95,2.35
Onion,138.33,54.25,69.24,6.27,27.19,75.69,114.49,1.48
Rice,78.62,52.23,44.69,6.8,33.06,73.52,142.25,3.17
Sugarcane,190.11,115.72,78.51,7.71,36.77,75.0,253.04,7.18
Sugarcane,183.72,91.83,128.86,7.16,23.39,77.55,291.31,7.26
Tomato,164.08,75.55,59.02,6.22,25.13,53.34,136.82,2.14
Potato,180.7,98.15,110.1,5.66,18.85,69.87,98.46,2.16
Cotton,120.95,50.88,99.01,7.38,31.29,38.91,105.74,1.96
Rice,74.51,26.13,32.45,7.03,30.38,90.07,119.97,3.09
Wheat,149.0,90.13,29.04,6.82,25.17,58.08,104.48,2.02
Cotton,71.54,16.22,71.17,7.45,21.7,57.58,162.26,2.02
Onion,51.68,57.72,48.91,6.72,19.27,65.87,125.49,2.19
Tomato,123.37,90.22,87.16,6.45,24.74,57.78,135.29,2.29
Rice,54.12,42.2,63.88,7.22,26.82,81.56,249.22,2.61
Maize,162.14,53.44,46.56,6.57,27.18,70.5,224.55,3.75
Groundnut,35.15,87.08,9.51,7.05,25.55,65.71,83.72,1.18
Rice,94.54,60.84,49.46,6.23,46.06,91.99,246.67,2.71
Sugarcane,181.25,94.4,121.63,6.7,24.66,80.4,265.96,7.21
Tomato,87.26,88.76,87.14,5.82,17.53,66.38,156.64,2.59
Maize,183.95,40.19,54.48,7.51,31.66,68.59,297.4,3.44
Soybean,111.28,60.89,34.38,6.06,26.91,67.88,41.57,1.64
Wheat,110.45,74.55,59.68,6.96,15.07,60.23,215.96,2.78
Cotton,54.78,24.97,81.78,6.89,27.63,48.87,145.17,1.94
Maize,144.4,52.98,68.43,6.69,28.04,53.06,266.69,3.75
Tomato,62.71,43.96,89.55,5.84,23.34,74.27,110.76,2.6
Sugarcane,179.2,55.12,119.64,7.69,42.52,52.93,287.54,6.31
Tomato,172.69,69.76,60.96,6.89,21.23,73.0,130.3,2.85
Soybean,134.45,48.05,71.16,6.68,18.94,63.04,246.81,1.64
Onion,129.99,45.76,39.2,6.81,20.67,50.07,49.83,1.87
Groundnut,18.58,50.51,44.7,6.36,32.73,49.01,128.51,1.72
Soybean,109.58,31.74,55.1,7.36,25.5,74.83,169.02,1.6
Maize,205.01,79.99,60.39,5.97,28.97,70.06,261.21,3.28
Wheat,90.37,46.36,49.9,6.44,26.45,73.28,140.21,2.49
Onion,45.54,63.92,83.07,6.48,21.42,69.34,186.22,1.47
Groundnut,35.86,53.59,11.5,5.48,22.96,70.13,83.23,1.37
Rice,63.58,37.25,74.04,6.42,24.07,80.25,287.75,2.71
Wheat,84.57,49.98,62.58,7.34,25.03,49.54,102.46,2.55
Soybean,100.53,34.8,37.85,6.2,30.71,75.28,175.19,2.08
Sugarcane,190.83,76.25,76.38,6.28,27.71,71.16,289.38,7.22
Wheat,105.29,57.68,39.22,7.51,16.07,48.6,190.89,2.77
Groundnut,0.0,67.1,25.17,6.01,27.94,65.87,122.27,1.2
Tomato,107.26,68.24,77.63,7.4,26.93,60.77,96.12,2.78
Tomato,158.98,88.22,72.08,6.03,18.69,72.52,235.19,2.5
Tomato,72.18,45.48,67.52,6.09,22.06,73.69,154.1,2.73
Soybean,95.73,20.92,28.85,6.42,26.74,78.61,132.16,1.77
Groundnut,37.13,44.9,41.74,6.76,26.58,59.7,98.32,1.92
Rice,46.76,75.52,16.47,6.17,31.72,90.3,129.83,2.15
Cotton,108.34,96.89,94.93,6.88,15.9,55.82,138.11,1.83
Potato,124.48,83.18,81.15,6.94,25.58,81.58,154.49,2.09
Potato,149.38,112.79,117.37,6.1,22.62,80.46,169.81,2.42
Sugarcane,215.51,117.17,103.23,7.07,27.26,68.33,169.74,7.28
Groundnut,1.77,39.85,71.24,6.12,28.21,62.73,179.38,1.02
Onion,93.32,47.88,72.73,7.47,24.37,77.33,108.88,1.75
Soybean,115.36,69.75,35.29,7.0,24.96,66.69,174.65,1.79
Soybean,91.67,73.24,34.34,6.69,32.75,60.44,152.5,1.73
Maize,180.64,90.24,42.91,7.9,30.53,72.07,212.53,3.64
Tomato,90.13,63.89,87.66,6.3,26.32,82.32,98.91,2.7
Soybean,55.38,24.26,65.58,6.49,26.24,60.13,120.72,1.98
Wheat,120.02,60.58,64.15,6.38,23.12,47.45,103.02,2.65
Tomato,114.74,52.95,79.98,6.05,29.03,78.34,111.31,2.75
Cotton,82.62,43.8,42.0,6.52,32.3,58.02,201.71,2.06
Sugarcane,189.15,91.84,93.62,6.87,31.35,75.29,224.5,7.92
Wheat,176.9,83.33,71.16,7.38,29.28,67.6,120.74,2.4
Wheat,138.79,40.11,54.3,7.55,10.88,47.5,141.18,2.65
Cotton,59.27,47.46,93.08,7.03,32.7,49.08,79.5,2.25
Maize,161.08,46.29,33.98,7.58,20.38,74.34,156.09,3.45
Soybean,88.84,17.98,20.75,6.54,22.38,79.97,49.69,1.79
Maize,108.71,62.96,28.71,7.75,18.3,63.78,93.66,3.61
Soybean,92.04,62.74,79.49,6.57,27.1,71.32,158.18,1.81
Groundnut,23.57,66.21,45.55,6.14,20.0,74.98,66.93,1.73
Groundnut,35.27,24.13,65.05,6.33,33.68,58.18,135.2,1.04
Wheat,104.99,34.54,52.5,7.24,16.98,68.64,107.17,2.78
Wheat,159.29,80.27,53.12,5.94,22.91,58.75,101.08,2.39
Rice,123.03,17.25,49.37,6.61,26.21,86.45,281.61,2.57
Cotton,92.7,62.44,88.36,6.94,26.47,32.82,81.1,1.98
Potato,170.54,75.12,94.34,6.0,13.65,90.53,214.91,2.61
Groundnut,50.5,49.41,72.29,5.86,22.64,53.98,126.14,1.13
Cotton,95.34,17.96,79.62,6.24,23.34,67.17,179.02,2.17
Wheat,128.27,49.38,44.54,6.82,12.43,62.52,152.44,2.5
Maize,197.06,82.14,63.84,6.56,24.99,71.27,187.64,3.78
Wheat,113.89,49.91,72.69,6.37,24.62,46.99,181.93,2.57
Maize,164.3,88.15,53.07,6.2,20.52,57.71,85.25,3.8
Soybean,83.3,37.29,79.11,6.15,27.25,61.75,29.09,1.53
Potato,136.55,97.97,106.93,6.07,7.95,87.7,161.18,2.21
Onion,133.97,74.95,73.09,6.68,16.98,74.89,31.75,1.88
Onion,100.84,28.78,25.36,6.16,22.7,64.94,38.2,1.61
Onion,58.96,61.79,48.91,6.61,15.56,62.0,79.26,1.76
Soybean,85.01,75.84,40.31,5.57,30.96,60.64,74.65,1.93
Wheat,129.07,49.38,49.23,6.8,27.08,59.97,101.6,2.5
Rice,72.47,44.76,49.68,6.56,23.79,75.76,236.7,2.96
Wheat,106.03,71.95,77.51,6.9,17.94,46.78,176.28,2.92
Groundnut,106.95,57.73,38.98,5.74,17.61,61.77,217.52,0.91
Onion,133.5,54.91,57.19,5.59,25.81,59.21,64.91,1.65
Wheat,109.29,45.65,60.28,6.72,20.5,45.13,139.3,2.57
Tomato,100.76,62.87,47.92,6.09,26.84,55.87,208.89,2.81
Tomato,105.16,44.26,84.04,5.78,13.99,65.41,113.3,2.69
Groundnut,11.56,75.48,10.1,5.63,29.43,48.38,39.98,1.2
Soybean,48.39,57.34,36.0,6.07,15.49,71.4,67.64,1.77
Rice,64.64,35.87,37.01,6.6,24.36,92.43,107.63,3.12
Cotton,125.09,59.54,50.5,6.6,22.97,60.99,83.0,2.18
Soybean,87.93,107.37,56.27,6.09,18.7,67.24,124.05,1.37
Soybean,58.58,65.95,39.35,6.98,18.21,76.77,175.69,2.08
Wheat,73.02,66.29,46.62,6.3,17.93,50.95,196.04,2.63
Onion,65.43,35.52,42.39,6.76,27.03,71.91,102.57,1.64
Sugarcane,146.8,125.84,91.06,7.98,30.98,95.25,280.32,6.69
Tomato,101.57,56.62,62.52,6.31,17.17,70.06,131.87,2.51
Onion,158.21,51.27,33.67,5.99,22.3,62.4,139.15,1.58
Maize,114.19,103.41,58.71,6.67,25.82,69.74,108.56,3.39
Soybean,66.5,70.15,35.2,6.2,34.31,82.31,-34.78,2.04
Maize,147.79,55.84,29.86,6.33,21.6,53.73,112.27,3.31
Maize,159.7,71.0,61.12,6.77,18.47,69.94,129.77,3.82
Cotton,65.02,36.25,62.77,7.34,28.88,55.2,214.28,1.73
Cotton,68.85,28.38,34.59,6.64,31.44,49.08,103.35,1.61
Cotton,76.1,40.77,82.85,6.16,25.72,65.87,97.75,1.75
Potato,188.38,94.7,117.39,5.13,25.56,67.27,124.53,1.98
Maize,178.41,66.4,59.63,6.84,24.52,55.53,270.61,3.31
Wheat,132.37,67.53,83.09,7.69,19.31,65.3,238.24,2.61
Maize,118.01,62.31,23.91,6.99,30.32,63.79,98.95,3.54
Soybean,26.71,29.08,46.43,6.63,28.11,69.34,218.0,1.66
Cotton,131.04,65.74,44.14,6.92,38.62,49.96,86.27,2.03
Soybean,65.94,44.13,40.33,7.22,25.32,56.72,54.41,2.34
Cotton,93.3,58.69,54.57,7.16,35.3,48.48,142.93,1.97
Potato,210.69,85.37,91.74,5.85,15.45,70.41,27.63,2.11
Wheat,115.8,69.77,49.54,6.61,19.96,43.88,157.17,2.42
Groundnut,63.62,63.69,21.48,6.53,27.56,49.91,-1.14,1.17
Cotton,76.17,71.9,70.28,6.65,36.99,60.76,-62.75,1.92
Sugarcane,158.48,84.0,97.11,7.38,31.31,85.78,281.83,7.44
Potato,156.04,105.74,93.67,5.85,8.47,85.56,146.15,2.82
Tomato,107.83,61.77,90.93,5.95,25.79,70.35,104.82,3.05
Tomato,92.89,65.5,109.09,6.15,22.52,93.45,143.72,2.48
Sugarcane,224.08,88.64,68.7,7.89,24.48,99.52,225.53,7.47
Potato,108.94,100.51,109.99,6.42,22.84,70.02,84.56,2.12
Wheat,126.69,50.56,65.55,7.16,15.45,63.95,136.64,2.65
Maize,173.62,54.46,40.87,6.84,31.87,66.93,206.41,3.48
Cotton,97.65,49.02,75.87,6.85,34.7,51.27,34.64,2.89
Rice,70.18,66.26,68.1,6.97,27.01,82.87,136.27,3.07
Soybean,54.45,54.92,51.98,6.45,22.72,83.94,177.51,2.01
Groundnut,18.01,71.29,30.71,6.99,27.56,72.3,94.31,1.46
Tomato,156.76,103.88,111.21,6.94,26.95,64.93,134.76,2.09
Soybean,91.27,68.8,10.78,6.52,28.07,69.16,147.9,1.56
Groundnut,6.72,70.7,40.01,6.37,24.27,60.19,-15.1,1.48
Potato,204.24,58.7,81.19,6.22,25.37,74.98,88.53,2.0
Groundnut,0.0,36.62,33.92,5.74,23.11,60.75,110.75,1.0
Soybean,91.89,52.36,64.41,6.89,23.28,76.14,88.15,2.21
Tomato,96.03,67.05,76.25,5.99,28.5,63.86,35.0,2.09
Maize,123.75,97.52,75.15,6.44,23.13,60.35,113.33,3.06
Cotton,129.43,60.08,75.46,6.33,28.5,31.96,162.14,2.21
Groundnut,0.0,82.33,4.08,6.47,29.78,47.6,98.11,0.67
Tomato,34.61,38.64,67.67,6.82,24.34,70.94,69.28,2.17
Sugarcane,172.1,75.5,88.13,7.24,27.14,71.76,284.75,7.15
Potato,109.98,91.27,105.32,6.16,21.13,79.57,151.44,2.73
Groundnut,0.0,38.27,59.35,6.27,30.79,61.7,168.7,0.98
Maize,190.27,93.42,25.79,7.12,24.78,58.93,85.57,3.01
Soybean,101.24,76.28,45.79,6.91,30.73,71.55,93.88,2.0
Groundnut,44.61,63.48,57.31,5.52,24.45,41.01,137.35,1.33
Cotton,112.92,20.49,98.02,6.4,31.87,56.18,110.53,1.98
Potato,130.86,105.9,100.25,5.37,16.08,76.28,194.89,2.13
Tomato,103.87,60.47,97.47,5.82,26.53,65.36,103.78,3.16
Sugarcane,194.11,115.09,114.38,6.61,20.77,83.21,195.82,6.98
Groundnut,60.78,29.61,24.55,7.19,18.7,47.44,77.02,1.08
Soybean,53.19,36.83,80.2,6.63,28.93,68.63,144.47,1.9
Cotton,70.11,55.3,83.92,7.77,37.74,55.7,176.93,1.58
Soybean,126.57,45.48,45.18,6.72,25.23,71.96,209.38,1.69
Groundnut,0.0,86.27,50.54,7.16,31.32,46.76,132.27,0.9
Wheat,120.22,58.49,27.65,6.59,31.03,62.38,141.22,2.99
Tomato,108.11,58.17,99.82,6.3,20.27,47.46,73.18,2.52
Sugarcane,204.76,87.79,143.16,6.67,37.0,77.2,290.34,7.26
Tomato,53.45,59.77,74.76,5.93,26.3,87.17,-13.65,2.33
Onion,62.63,51.44,43.49,6.5,25.45,81.36,233.07,1.51
Maize,95.37,81.18,82.21,7.21,33.03,62.75,149.52,3.13
Onion,90.08,63.26,69.4,7.32,24.55,67.46,139.72,1.33
Rice,86.32,41.05,44.26,6.46,30.16,74.25,256.48,3.41
Potato,154.52,66.05,116.31,6.1,14.22,74.43,181.45,2.42
Sugarcane,214.61,101.85,120.52,7.82,33.69,69.13,197.1,7.32
Potato,208.61,85.63,142.53,5.94,16.71,74.26,145.39,1.95
Cotton,65.53,60.03,91.1,8.22,25.83,51.47,81.44,2.29
Wheat,144.45,42.46,41.96,7.48,21.92,67.58,105.86,2.17
Soybean,53.75,73.76,92.22,6.29,37.38,78.3,60.35,1.64
Potato,175.92,31.49,112.89,6.59,19.99,74.38,141.35,2.06
Maize,114.72,56.25,41.67,6.86,22.22,56.31,217.99,3.59
